"Country or Territory Name","City Code","City Name","SDG Sub-Region","SDG Region","Average share of green area in city/urban area 1990 (%)","Average share of green area in city/ urban area 2000 (%)","Average share of green area in city/ urban area 2010 (%)","Average share of green area in city/ urban area 2020 (%)","Green area per capita 1990 (m2/person)","Green area per capita 2000 (m2/person)","Green area per capita 2010 (m2/person)","Green area per capita 2020 (m2/person)","Data Source","FootNote"
"Angola","AO_HUAMBO","Huambo","Middle Africa","Sub-Saharan Africa","  8.02 ","  8.14 ","  7.76 ","  7.12 ","  13.39 ","  11.60 ","  11.83 ","  11.38 ","UN-Habitat Urban Indicators Database, 2454","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Angola","AO_LUENA","Luena","Middle Africa","Sub-Saharan Africa","  4.45 ","  5.52 ","  5.34 ","  3.40 ","  163.66 ","  55.64 ","  16.70 ","  4.48 ","UN-Habitat Urban Indicators Database, 2559","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Angola","AO_MALANJE","Malanje","Middle Africa","Sub-Saharan Africa","  3.42 ","  3.67 ","  3.77 ","  2.63 ","  12.03 ","  7.02 ","  4.75 ","  2.06 ","UN-Habitat Urban Indicators Database, 2595","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Angola","AO_SAURIMO","Saurimo","Middle Africa","Sub-Saharan Africa","  11.52 ","  5.65 ","  1.61 ","  0.42 ","  28.33 ","  8.14 ","  1.65 ","  0.44 ","UN-Habitat Urban Indicators Database, 2687","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Argentina","AR_CLORINDA","Clorinda","South America","Latin America and the Caribbean","  49.49 ","  32.40 ","  23.98 ","  16.52 ","  204.45 ","  114.96 ","  79.85 ","  51.06 ","UN-Habitat Urban Indicators Database, 2264","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Argentina","AR_BUENOS_AIRES","Buenos Aires","South America","Latin America and the Caribbean","  31.90 ","  31.06 ","  20.44 ","  15.95 ","  64.81 ","  56.76 ","  33.23 ","  24.96 ","UN-Habitat Urban Indicators Database, 2271","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Argentina","AR_ROSARIO","Rosario","South America","Latin America and the Caribbean","  22.58 ","  24.13 ","  14.37 ","  14.53 ","  54.41 ","  55.36 ","  31.45 ","  27.97 ","UN-Habitat Urban Indicators Database, 2297","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Argentina","AR_ZARATE","Zárate","South America","Latin America and the Caribbean","  12.62 ","  11.95 ","  10.80 ","  10.16 ","  40.59 ","  36.54 ","  30.92 ","  26.19 ","UN-Habitat Urban Indicators Database, 2377","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Argentina","AR_SAN_JUAN","San Juan","South America","Latin America and the Caribbean","  23.16 ","  15.14 ","  10.53 ","  7.54 ","  79.21 ","  44.56 ","  28.68 ","  19.22 ","UN-Habitat Urban Indicators Database, 2446","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Argentina","AR_SANTIAGO_DEL_ESTERO","Santiago Del Estero","South America","Latin America and the Caribbean","  2.73 ","  3.64 ","  3.15 ","  4.37 ","  9.59 ","  10.34 ","  8.04 ","  9.74 ","UN-Habitat Urban Indicators Database, 2525","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Armenia","AM_YEREVAN","Yerevan","Western Asia","Western Asia and Northern Africa","  16.71 ","  11.99 ","  11.23 ","  12.26 ","  35.45 ","  27.70 ","  27.27 ","  31.66 ","UN-Habitat Urban Indicators Database, 2337","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Australia","AU_CAIRNS","Cairns","Australia and New Zealand","Australia and New Zealand","  23.51 ","  17.56 ","  18.03 ","  19.01 ","  252.66 ","  146.61 ","  118.52 ","  110.86 ","UN-Habitat Urban Indicators Database, 2213","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Australia","AU_WOLLONGONG","Wollongong","Australia and New Zealand","Australia and New Zealand","  15.92 ","  14.17 ","  17.87 ","  17.80 ","  105.97 ","  88.51 ","  105.56 ","  96.69 ","UN-Habitat Urban Indicators Database, 2239","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Australia","AU_NEWCASTLE","Newcastle-Maitland","Australia and New Zealand","Australia and New Zealand","  13.33 ","  16.62 ","  17.73 ","  17.53 ","  106.75 ","  114.21 ","  110.07 ","  101.03 ","UN-Habitat Urban Indicators Database, 2242","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Australia","AU_HOBART","Hobart","Australia and New Zealand","Australia and New Zealand","  22.25 ","  20.50 ","  18.64 ","  14.34 ","  135.08 ","  128.57 ","  112.83 ","  84.41 ","UN-Habitat Urban Indicators Database, 2300","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Australia","AU_CENTRAL_COAST","Central Coast","Australia and New Zealand","Australia and New Zealand","  10.17 ","  10.99 ","  13.68 ","  14.26 ","  101.60 ","  80.43 ","  85.27 ","  77.76 ","UN-Habitat Urban Indicators Database, 2304","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Australia","AU_CANBERRA","Canberra","Australia and New Zealand","Australia and New Zealand","  15.02 ","  14.93 ","  12.65 ","  12.76 ","  129.57 ","  110.73 ","  85.12 ","  78.49 ","UN-Habitat Urban Indicators Database, 2327","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Australia","AU_MUSWELLBROOK","Muswellbrook","Australia and New Zealand","Australia and New Zealand","  1.19 ","  9.85 ","  10.87 ","  12.13 ","  13.67 ","  98.09 ","  94.70 ","  100.49 ","UN-Habitat Urban Indicators Database, 2341","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Australia","AU_SYDNEY","Sydney","Australia and New Zealand","Australia and New Zealand","  9.94 ","  8.64 ","  10.70 ","  10.32 ","  43.64 ","  36.29 ","  40.41 ","  32.73 ","UN-Habitat Urban Indicators Database, 2376","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Australia","AU_DARWIN","Darwin","Australia and New Zealand","Australia and New Zealand","  5.82 ","  6.33 ","  6.55 ","  7.56 ","  56.15 ","  56.10 ","  51.42 ","  51.75 ","UN-Habitat Urban Indicators Database, 2445","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Australia","AU_BUNBURY","Bunbury","Australia and New Zealand","Australia and New Zealand","  4.99 ","  5.72 ","  6.49 ","  7.40 ","  51.78 ","  52.54 ","  56.79 ","  62.32 ","UN-Habitat Urban Indicators Database, 2450","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Australia","AU_ADELAIDE","Adelaide","Australia and New Zealand","Australia and New Zealand","  2.34 ","  2.73 ","  3.14 ","  3.39 ","  15.40 ","  17.45 ","  18.56 ","  18.39 ","UN-Habitat Urban Indicators Database, 2560","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Austria","AT_WIEN","Wien (Vienna)","Western Europe","Northern America and Europe","  30.30 ","  29.25 ","  26.30 ","  30.74 ","  75.31 ","  71.39 ","  58.72 ","  60.44 ","UN-Habitat Urban Indicators Database, 2084","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
"Austria","AT_LINZ","Linz","Western Europe","Northern America and Europe","  19.40 ","  20.51 ","  21.47 ","  22.45 ","  60.68 ","  68.16 ","  70.05 ","  65.48 ","UN-Habitat Urban Indicators Database, 2166","Data on green areas per city is produced from analysis of landsat and sentinel imagery analysis. Population data used to calculate the green area per capita is based on GHS-Pop estimates for 1990, 2000, 2010 and 2020. City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the methodology described in the Metadata sheet. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
